antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'religious-groups-in-schools'}),frozenset({'crime'}),0.6422413793103449,0.6422413793103449,0.5387931034482759,0.8389261744966443,1.3062474663303454,0.12631911414982167,2.2210847701149423,0.6553253012048195
frozenset({'crime'}),frozenset({'religious-groups-in-schools'}),0.6422413793103449,0.6422413793103449,0.5387931034482759,0.8389261744966443,1.3062474663303454,0.12631911414982167,2.2210847701149423,0.6553253012048195
frozenset({'export-administration-act-south-africa'}),frozenset({'anti-satellite-test-ban'}),0.8146551724137931,0.5344827586206896,0.5301724137931034,0.6507936507936507,1.2176139272913467,0.09475326991676575,1.3330721003134793,0.9642654566080547
frozenset({'anti-satellite-test-ban'}),frozenset({'export-administration-act-south-africa'}),0.5344827586206896,0.8146551724137931,0.5301724137931034,0.9919354838709677,1.2176139272913467,0.09475326991676575,22.98275862068967,0.3839205058717253
frozenset({'export-administration-act-south-africa'}),frozenset({'adoption-of-the-budget-resolution'}),0.8146551724137931,0.5301724137931034,0.5258620689655172,0.6455026455026455,1.2175334451757216,0.0939543697978597,1.3253345342254246,0.9639725505146782
frozenset({'adoption-of-the-budget-resolution'}),frozenset({'export-administration-act-south-africa'}),0.5301724137931034,0.8146551724137931,0.5258620689655172,0.9918699186991871,1.2175334451757216,0.0939543697978597,22.79741379310363,0.3802827492856069
frozenset({'el-salvador-aid'}),frozenset({'crime'}),0.5517241379310345,0.6422413793103449,0.521551724137931,0.9453125,1.4718959731543624,0.1672116527942925,6.541871921182265,0.7151938970120788
frozenset({'crime'}),frozenset({'el-salvador-aid'}),0.6422413793103449,0.5517241379310345,0.521551724137931,0.8120805369127516,1.4718959731543624,0.1672116527942925,2.385467980295566,0.8961465697500748
frozenset({'religious-groups-in-schools'}),frozenset({'el-salvador-aid'}),0.6422413793103449,0.5517241379310345,0.5129310344827587,0.7986577181208054,1.4475671140939599,0.15859096313912013,2.226436781609196,0.8642300293611422
frozenset({'el-salvador-aid'}),frozenset({'religious-groups-in-schools'}),0.5517241379310345,0.6422413793103449,0.5129310344827587,0.9296875000000001,1.4475671140939599,0.15859096313912013,5.088122605363992,0.6897220426632192
